   4.7000000e+02   3.0000000e+02   1.0000000e+01   8.5500000e+00
   2.8500000e+02   8.0000000e+01   1.0000000e+01   3.7900000e+00
   4.7000000e+02   3.0000000e+02   1.2000000e+02   4.8200000e+00
   4.7000000e+02   8.0000000e+01   1.2000000e+02   2.0000000e-02
   4.7000000e+02   8.0000000e+01   1.0000000e+01   2.7500000e+00
   1.0000000e+02   1.9000000e+02   1.0000000e+01   1.4390000e+01
   1.0000000e+02   8.0000000e+01   6.5000000e+01   2.5400000e+00
   4.7000000e+02   1.9000000e+02   6.5000000e+01   4.3500000e+00
   1.0000000e+02   3.0000000e+02   5.4000000e+01   1.3000000e+01
   1.0000000e+02   3.0000000e+02   1.2000000e+02   8.5000000e+00
   1.0000000e+02   8.0000000e+01   1.2000000e+02   5.0000000e-02
   2.8500000e+02   3.0000000e+02   1.0000000e+01   1.1320000e+01
   2.8500000e+02   1.9000000e+02   1.2000000e+02   3.1300000e+00
