   9.4613189e+01   1.9407617e+02   6.8774898e+01   7.8988188e+00   2.3783586e+01
   7.8390479e+01   1.9850500e+02   7.0404878e+01   3.3191615e+00   1.9838335e+02
   1.0555029e+02   2.0033286e+02   6.6152310e+01   4.5373734e+00   1.6602004e+01
   1.0261631e+02   2.0020989e+02   6.7202002e+01   5.3627707e+00   2.1020043e+01
   9.8846342e+01   1.9692487e+02   7.0582662e+01   1.4829842e+01   4.7485127e+01
   7.9507470e+01   2.0511270e+02   7.4102924e+01   6.2185775e+00   2.0181211e+02
   9.4373025e+01   2.0454264e+02   7.0759526e+01   1.0716844e+01   4.7397000e+01
   1.0089872e+02   1.4627584e+02   7.1081168e+01   6.1157538e+00   2.0252745e+02
   7.7077885e+01   1.9741074e+02   7.3049860e+01   1.5346233e+01   2.0029388e+02
   1.0107260e+02   2.0176339e+02   7.2826566e+01   1.2758330e+01   5.0661789e+01
   1.0425108e+02   2.0085891e+02   7.1497866e+01   1.1969186e+01   4.5005248e+01
   1.0135084e+02   2.0725222e+02   7.6018892e+01   7.3219597e+00   5.0262277e+01
   1.0269042e+02   2.0093568e+02   7.5222852e+01   1.0481159e+01   5.7639407e+01
   8.2169884e+01   2.0398765e+02   7.5192833e+01   1.0087867e+01   2.0342367e+02
   7.6968631e+01   1.9653256e+02   7.2409656e+01   8.0672864e+00   1.9433937e+02
   7.2613270e+01   2.0151327e+02   6.3875828e+01   1.1992328e+01   1.9768890e+02
   1.0088216e+02   1.4830409e+02   7.1188325e+01   1.3179862e+01   2.0384894e+02
   9.8137836e+01   2.0020840e+02   7.0572680e+01   2.0849181e+01   5.8535321e+01
   1.0198396e+02   2.0137475e+02   6.8058274e+01   9.8443852e+00   5.3354001e+01
   1.0127835e+02   1.4921373e+02   7.3531765e+01   4.8266484e+00   1.9764718e+02
   1.0510798e+02   1.9671362e+02   7.2876941e+01   7.7901026e+00   4.9902106e+01
   1.0353517e+02   1.9891923e+02   7.0568247e+01   1.5015555e+01   4.9677593e+01
