330,0.1,0.000417
330,0.2,0.000834
330,0.3,0.001252
330,0.4,0.001669
330,0.5,0.002086
330,0.6,0.002503
330,0.7,0.002921
330,0.8,0.003338
330,0.9,0.003755
340,0.1,0.000989
340,0.2,0.001978
340,0.3,0.002967
340,0.4,0.003956
340,0.5,0.004944
340,0.6,0.005933
340,0.7,0.006922
340,0.8,0.007911
340,0.9,0.0089
350,0.1,0.002231
350,0.2,0.004462
350,0.3,0.006693
350,0.4,0.008924
350,0.5,0.011155
350,0.6,0.013386
350,0.7,0.015617
350,0.8,0.017848
350,0.9,0.020079
360,0.1,0.004811
360,0.2,0.009621
360,0.3,0.014432
360,0.4,0.019243
360,0.5,0.024053
360,0.6,0.028864
360,0.7,0.033675
360,0.8,0.038485
360,0.9,0.043296
