   1.8540000e+02   1.6650000e+02   1.8670000e+02   1.8890000e+02   1.7900000e+02
   1.9830000e+02   2.0000000e+02   1.6790000e+02   1.6850000e+02   1.7760000e+02
   1.5740000e+02   1.8730000e+02   1.8720000e+02   1.6930000e+02   1.8320000e+02
   1.8860000e+02   1.7940000e+02   1.9630000e+02   1.7190000e+02   1.8310000e+02
   1.8320000e+02   1.8710000e+02   1.8490000e+02   1.5060000e+02   1.7140000e+02
   1.6690000e+02   1.7800000e+02   1.9030000e+02   1.9440000e+02   1.7970000e+02
   1.7570000e+02   1.7880000e+02   1.8730000e+02   1.8330000e+02   1.7840000e+02
   1.8340000e+02   1.9490000e+02   1.7700000e+02   1.7250000e+02   1.8630000e+02
   2.0000000e+02   1.9410000e+02   1.8290000e+02   1.9370000e+02   1.9090000e+02
   2.0000000e+02   1.9420000e+02   1.7210000e+02   1.6290000e+02   1.9110000e+02
